2025-11-27 17:46:50,601 | INFO  | MainThread | solace_ai_connector.solace_ai_connector | Stopping Solace AI Event Connector
2025-11-27 17:46:51,244 | INFO  | FastAPI_Thread | solace_agent_mesh.gateway.http_sse.component | [solace_ai_connector.a2a_webui_app_implicit_flow.<unnamed>] [VizMsgProcessor] Visualization message processor loop finished.
2025-11-27 17:46:51,490 | INFO  | Thread-10 (run) | solace_agent_mesh.common.sac.sam_component_base | [solace_ai_connector.a2a_webui_app_implicit_flow.<unnamed>]  SamComponentBase run method finished.
2025-11-27 17:46:51,493 | INFO  | Thread-17 (run) | solace_agent_mesh.common.sac.sam_component_base | [solace_ai_connector.organization-orchestrator_app_implicit_flow.<unnamed>]  SamComponentBase run method finished.
2025-11-27 17:46:51,506 | INFO  | MainThread | solace_ai_connector.solace_ai_connector | Cleaning up Solace AI Event Connector
2025-11-27 17:46:51,507 | INFO  | MainThread | solace_ai_connector.flow.app | Cleaning up app: a2a_webui_app
2025-11-27 17:46:51,507 | INFO  | MainThread | solace_ai_connector.flow.flow | Cleaning up flow: a2a_webui_app_implicit_flow
2025-11-27 17:46:51,507 | INFO  | MainThread | solace_agent_mesh.gateway.http_sse.component | [solace_ai_connector.a2a_webui_app_implicit_flow.<unnamed>]  Cleaning up Web UI Backend Component...
2025-11-27 17:46:51,508 | INFO  | MainThread | solace_agent_mesh.gateway.http_sse.component | [solace_ai_connector.a2a_webui_app_implicit_flow.<unnamed>]  Cancelled data retention cleanup timer.
2025-11-27 17:46:51,508 | INFO  | MainThread | solace_agent_mesh.gateway.http_sse.component | [solace_ai_connector.a2a_webui_app_implicit_flow.<unnamed>]  Data retention service cleaned up.
2025-11-27 17:46:51,508 | INFO  | MainThread | solace_agent_mesh.gateway.http_sse.component | [solace_ai_connector.a2a_webui_app_implicit_flow.<unnamed>]  Cleaning up visualization resources...
2025-11-27 17:46:51,509 | INFO  | MainThread | solace_agent_mesh.gateway.http_sse.component | [solace_ai_connector.a2a_webui_app_implicit_flow.<unnamed>]  Cleaning up internal visualization app...
2025-11-27 17:46:51,509 | INFO  | MainThread | solace_ai_connector.flow.app | Cleaning up app: gdk-gateway-74a56ff9_viz_internal_app
2025-11-27 17:46:51,509 | INFO  | MainThread | solace_ai_connector.flow.flow | Cleaning up flow: gdk-gateway-74a56ff9_viz_flow
